"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Gyarados","Dragon Breath","Outrage","12.891","415.4","30.71","3391"
"Jynx","Frost Breath","Ice Punch","12.89","264.3","27.43","2555"
"Hariyama","Counter","Heavy Slam","12.889","365.8","29.75","2829"
"Gallade","Charm","Leaf Blade","12.888","345.6","29.33","3093"
"Ribombee","Fairy Wind","Dazzling Gleam","12.888","244.8","26.91","2200"
"Shadow Camerupt","Rock Smash","Overheat","12.888","210.5","25.91","2193"
"Lokix","Bug Bite","Bug Buzz","12.886","268.7","27.54","2317"
"Armored Mewtwo","Confusion","Psystrike","12.885","600","33.66","3187"
"Espeon","Zen Headbutt","Psychic Fangs","12.885","302.4","28.36","3170"
"Shadow Hitmonchan","Rock Smash","Power-Up Punch","12.884","240.1","26.77","2332"
"Shadow Porygon2","Lock-On","Solar Beam","12.884","309.5","28.52","2711"
"Tangela","Vine Whip","Grass Knot","12.884","292.8","28.13","2238"
"Tangela","Vine Whip","Power Whip","12.884","292.8","28.13","2238"
"Alcremie","Charm","Dazzling Gleam","12.883","346.9","29.35","2682"
"Durant","Bug Bite","Iron Head","12.883","301.3","28.33","2659"
"Shadow Donphan","Charm","Body Slam","12.883","330.8","29","3013"
"Hippowdon","Sand Attack","Earth Power","12.882","467.8","31.62","3085"
"Flapple","Dragon Breath","Dragon Pulse","12.88","265.8","27.45","2466"
"Mega Scizor","Bullet Punch","Night Slash","12.879","442.9","31.19","4087"
"Scyther","Fury Cutter","X-Scissor","12.877","309.1","28.5","2706"
"Escavalier","Counter","Megahorn","12.875","337.5","29.13","2889"
"Shadow Murkrow","Peck","Dark Pulse","12.875","129.1","22.91","1562"
"Starmie","Tackle","Psychic","12.875","302.3","28.34","2584"
"Emboar","Low Kick","Rock Slide","12.874","326.1","28.88","2982"
"Shadow Granbull","Snarl","Close Combat","12.874","241.3","26.79","2552"
"Buzzwole","Poison Jab","Power-Up Punch","12.873","437.5","31.08","3469"
"Cinccino","Pound","Hyper Beam","12.873","253.9","27.13","2242"
"Shadow Feraligatr","Bite","Ice Beam","12.871","321.9","28.78","2857"
"Arboliva","Tackle","Seed Bomb","12.869","366.2","29.72","2959"
"Ho-Oh","Extrasensory","Fire Blast","12.869","529.7","32.6","3863"
"Lycanroc (Dusk Form)","Counter","Stone Edge","12.868","271.3","27.57","2678"
"Yanmega","Wing Attack","Aerial Ace","12.868","328.3","28.92","2946"
"Shadow Xatu","Feint Attack","Future Sight","12.867","213.2","25.96","2188"
"Zacian - Hero of Many Battles","Fire Fang","Close Combat","12.866","463.9","31.53","3829"
"Absol","Psycho Cut","Payback","12.865","214.5","26","2526"
"Chatot","Steel Wing","Sky Attack","12.865","187.4","25.13","1791"
"Reuniclus","Zen Headbutt","Shadow Ball","12.864","374","29.87","2927"
"Mega Blastoise","Water Gun","Flash Cannon","12.863","456.6","31.4","3941"
"Rabsca","Bug Bite","Bug Buzz","12.862","337.6","29.11","2623"
"Shadow Ivysaur","Vine Whip","Sludge Bomb","12.862","199.8","25.53","1699"
"Beartic","Powder Snow","Ice Punch","12.861","344.3","29.25","3042"
"Shadow Ambipom","Scratch","Aerial Ace","12.861","230.3","26.46","2418"
"Flygon","Dragon Tail","Return","12.859","334.8","29.05","2661"
"Tsareena","Magical Leaf","Triple Axel","12.859","357.9","29.54","2964"
"Zygarde (10% Forme)","Dragon Tail","Earthquake","12.856","266.7","27.44","2375"
"Charizard","Wing Attack","Return","12.854","337.1","29.09","2889"
"Mesprit","Extrasensory","Future Sight","12.854","415.1","30.64","3058"
"Nidoking","Poison Jab","Earthquake","12.853","314.2","28.58","2567"
"Wo-Chien","Magical Leaf","Grass Knot","12.852","488.2","31.91","2937"
"Breloom","Bullet Seed","Sludge Bomb","12.851","241.1","26.74","2628"
"Pangoro","Snarl","Rock Slide","12.85","331.6","28.96","2902"
"Zamazenta - Crowned Shield","Snarl","Iron Head","12.849","548.2","32.84","3809"
"Durant","Metal Claw","Iron Head","12.848","300.5","28.25","2659"
"Shadow Lapras","Frost Breath","Surf","12.846","410","30.53","2641"
"Guzzlord","Snarl","Dragon Claw","12.844","462.4","31.46","2887"
"Wyrdeer","Confusion","Wild Charge","12.844","349.4","29.33","2732"
"Flamigo","Wing Attack","Close Combat","12.843","296.6","28.15","2757"
"Vanilluxe","Frost Breath","Blizzard","12.843","335.2","29.03","2822"
"Zapdos","Charge Beam","Thunder","12.842","395.7","30.26","3527"
"Goodra","Water Gun","Draco Meteor","12.841","508.4","32.21","3505"
"Ho-Oh","Hidden Power (Fire)","Solar Beam","12.841","528.5","32.53","3863"
"Ho-Oh","Hidden Power (Flying)","Solar Beam","12.841","528.5","32.53","3863"
"Shadow Camerupt","Ember","Solar Beam","12.841","209.7","25.81","2193"
"Regigigas","Zen Headbutt","Thunder","12.84","473.1","31.63","4346"
"Shadow Bellsprout","Vine Whip","Sludge Bomb","12.839","85.8","20.64","1033"
"Shadow Lugia","Extrasensory","Hydro Pump","12.837","603.2","33.61","3703"
"Kilowattrel","Thunder Shock","Acrobatics","12.836","244.9","26.83","2443"
"Hisuian Arcanine","Rock Smash","Rock Slide","12.835","370.4","29.75","3145"
"Sandaconda","Mud Slap","Earth Power","12.835","377.7","29.89","2790"
"Scyther","Fury Cutter","Return","12.835","308.1","28.41","2706"
"Venusaur","Razor Leaf","Sludge Bomb","12.834","372.5","29.79","2720"
"Bewear","Shadow Claw","Stomp","12.832","382","29.97","3117"
"Mega Steelix","Iron Tail","Heavy Slam","12.832","596.9","33.51","3670"
"Pawmot","Low Kick","Close Combat","12.829","259.7","27.21","2634"
"Vileplume","Razor Leaf","Solar Beam","12.829","317.6","28.62","2559"
"Rotom Heat","Thunder Shock","Overheat","12.828","316.6","28.59","2579"
"Samurott","Fury Cutter","Hydro Pump","12.828","353.7","29.4","2826"
"Shadow Regice","Frost Breath","Blizzard","12.828","492.8","31.94","3122"
"Aerodactyl","Rock Throw","Earth Power","12.827","317.5","28.61","2783"
"Kadabra","Psycho Cut","Dazzling Gleam","12.827","158.6","24.05","2059"
"Shadow Nidoking","Fury Cutter","Megahorn","12.827","261.3","27.25","2567"
"Shadow Vileplume","Acid","Moonblast","12.827","264.6","27.34","2559"
"Shaymin (Land Forme)","Hidden Power (Fire)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Fighting)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Water)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Flying)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Poison)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Electric)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Ground)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Psychic)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Rock)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Ice)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Bug)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Dragon)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Ghost)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Dark)","Grass Knot","12.827","480.7","31.74","3265"
"Shaymin (Land Forme)","Hidden Power (Steel)","Grass Knot","12.827","480.7","31.74","3265"
"Gengar","Hex","Dark Pulse","12.825","248.1","26.9","2878"
"Shadow Hitmonchan","Counter","Fire Punch","12.825","239","26.65","2332"
"Shadow Scyther","Air Slash","Night Slash","12.824","256.6","27.12","2706"
"Cacturne","Sand Attack","Dynamic Punch","12.823","216.3","25.99","2298"
"Cacturne","Sand Attack","Dark Pulse","12.823","216.3","25.99","2298"
"Shadow Alolan Ninetales","Charm","Ice Beam","12.823","296.1","28.11","2309"
"Cacturne","Poison Jab","Dynamic Punch","12.821","216.3","25.98","2298"
"Cacturne","Poison Jab","Dark Pulse","12.82","216.3","25.98","2298"
"Shadow Beedrill","Bug Bite","X-Scissor","12.82","191.3","25.2","1846"
"Lilligant","Hidden Power (Grass)","Solar Beam","12.816","282.7","27.78","2550"
"Shadow Kingdra","Water Gun","Blizzard","12.816","303.6","28.27","2641"
"Gyarados","Bite","Return","12.815","412.9","30.53","3391"
"Gyarados","Dragon Breath","Return","12.815","412.9","30.53","3391"
"Electivire","Low Kick","Thunder Punch","12.814","310.2","28.42","3079"
"Ho-Oh","Extrasensory","Solar Beam","12.813","527.4","32.45","3863"
"Celebi","Charge Beam","Psychic","12.811","480.1","31.7","3265"
"Jirachi","Charge Beam","Psychic","12.811","480.1","31.7","3265"
"Mew","Charge Beam","Psychic","12.811","480.1","31.7","3265"
"Shadow Sandslash","Mud Shot","Earthquake","12.811","275.9","27.6","2374"
"Charizard","Dragon Breath","Flamethrower","12.81","335.9","28.99","2889"
"Glaceon","Ice Shard","Last Resort","12.81","348.1","29.25","3126"
"Moltres","Wing Attack","Heat Wave","12.809","386.8","30.03","3465"
"Shadow Aggron","Smack Down","Thunder","12.808","376.7","29.83","3000"
"Shadow Charmeleon","Fire Fang","Flamethrower","12.808","173.4","24.57","1653"
"Shadow Omastar","Mud Shot","Rock Blast","12.808","299.2","28.16","2786"
"Magneton","Spark","Zap Cannon","12.807","248.6","26.88","2485"
"Shaymin (Land Forme)","Hidden Power (Grass)","Solar Beam","12.806","479.9","31.68","3265"
"Sirfetch'd","Counter","Night Slash","12.805","293.6","28.02","2985"
"Shadow Graveler","Rock Throw","Rock Slide","12.804","213.4","25.87","1897"
"Shadow Nidoking","Double Kick","Sludge Wave","12.804","260.8","27.2","2567"
"Espartha","Peck","Psychic","12.803","291.4","27.97","2477"
"Typhlosion","Incinerate","Fire Blast","12.802","335.7","28.97","2889"
"Hariyama","Bullet Punch","Superpower","12.8","363.3","29.54","2829"
"Shadow Alolan Ninetales","Powder Snow","Dazzling Gleam","12.8","295.6","28.06","2309"
"Shadow Electrode","Volt Switch","Discharge","12.8","236.6","26.54","2099"
"Shadow Skarmory","Steel Wing","Sky Attack","12.8","317.5","28.57","2108"
"Shadow Aggron","Smack Down","Rock Tomb","12.799","376.5","29.81","3000"
"Shadow Ampharos","Charge Beam","Trailblaze","12.798","302.3","28.22","2852"
"Poliwrath","Counter","Dynamic Punch","12.797","392.3","30.11","2586"
"Thundurus  (Incarnate Forme)","Thunder Shock","Crunch","12.796","322.7","28.67","3345"
"Pangoro","Snarl","Night Slash","12.794","330.2","28.84","2902"
"Shadow Tangrowth","Infestation","Rock Slide","12.794","353.4","29.33","3030"
"Arcanine","Snarl","Fire Blast","12.793","356.7","29.4","3029"
"Shadow Snorlax","Zen Headbutt","Body Slam","12.793","469.6","31.49","3225"
"Skuntank","Poison Jab","Sludge Bomb","12.793","319.7","28.6","2358"
"Chesnaught","Low Kick","Solar Beam","12.792","425.7","30.72","2954"
"Golisopod","Waterfall","Liquidation","12.79","419.2","30.6","3162"
"Shadow Granbull","Bite","Close Combat","12.788","239.7","26.61","2552"
"Shadow Magneton","Charge Beam","Flash Cannon","12.788","206.8","25.65","2485"
"Shadow Feraligatr","Waterfall","Crunch","12.786","319.7","28.59","2857"
"Hippowdon","Thunder Fang","Scorching Sands","12.784","464.2","31.38","3085"
"Ho-Oh","Hidden Power (Fire)","Return","12.784","526.2","32.38","3863"
"Ho-Oh","Hidden Power (Flying)","Return","12.784","526.2","32.38","3863"
"Shadow Armaldo","Struggle Bug","Cross Poison","12.784","273.9","27.5","2848"
"Mega Steelix","Iron Tail","Earthquake","12.782","594.6","33.38","3670"
"Regidrago","Bite","Breaking Swipe","12.782","427","30.73","2973"
"Shadow Liepard","Charm","Play Rough","12.782","158.3","23.98","1846"
"Golisopod","Fury Cutter","Liquidation","12.781","419","30.58","3162"
"Swampert","Mud Shot","Surf","12.781","404.5","30.31","2974"
"Garchomp","Mud Shot","Fire Blast","12.78","468.6","31.45","3962"
"Alolan Exeggutor","Bullet Seed","Dragon Pulse","12.778","344.1","29.11","3014"
"Shadow Rhydon","Rock Smash","Megahorn","12.778","340.9","29.04","3179"
"Xerneas","Zen Headbutt","Moonblast","12.777","462.9","31.35","3781"
"Kleavor","Quick Attack","Trailblaze","12.776","313.3","28.43","3146"
"Shadow Granbull","Bite","Crunch","12.776","239.5","26.58","2552"
"Shadow Ampharos","Charge Beam","Focus Blast","12.775","301.8","28.16","2852"
"Skeledirge","Incinerate","Flamethrower","12.775","422.6","30.64","3027"
"Ampharos","Volt Switch","Brutal Swing","12.774","362.1","29.48","2852"
"Samurott","Waterfall","Liquidation","12.772","352.2","29.27","2826"
"Lurantis","Razor Leaf","Leaf Blade","12.77","304.9","28.23","2398"
"Mega Abomasnow","Powder Snow","Outrage","12.77","405.3","30.31","3405"
"Wugtrio","Water Gun","Surf","12.77","168.6","24.34","1895"
"Pawmot","Spark","Close Combat","12.769","258.5","27.09","2634"
"Hippowdon","Sand Attack","Weather Ball Rock","12.768","463.6","31.34","3085"
"Jynx","Pound","Ice Punch","12.768","261.8","27.17","2555"
"Shadow Machoke","Karate Chop","Cross Chop","12.768","211.9","25.77","2031"
"Shadow Swanna","Water Gun","Hurricane","12.768","212.7","25.8","2088"
"Drednaw","Bite","Surf","12.767","352.1","29.26","2838"
"Nidoking","Double Kick","Earth Power","12.766","312.1","28.39","2567"
"Decidueye","Razor Leaf","Brave Bird","12.763","345.4","29.11","2775"
"Kommo-o","Dragon Tail","Flamethrower","12.761","442.6","30.97","3309"
"Tsareena","Razor Leaf","Triple Axel","12.761","355.2","29.31","2964"
"Shadow Ampharos","Volt Switch","Dragon Pulse","12.76","301.4","28.13","2852"
"Shadow Abomasnow","Razor Leaf","Outrage","12.758","283.4","27.7","2362"
"Shadow Hitmontop","Counter","Close Combat","12.758","249","26.82","2156"
"Hippowdon","Fire Fang","Scorching Sands","12.757","463.2","31.32","3085"
"Shadow Granbull","Snarl","Crunch","12.757","239.1","26.54","2552"
"Kommo-o","Poison Jab","Boomburst","12.755","442.4","30.95","3309"
"Shadow Gloom","Acid","Sludge Bomb","12.754","189.3","25.03","1681"
"Shadow Scyther","Steel Wing","Night Slash","12.754","255.2","26.97","2706"
"Cyclizar","Dragon Tail","Body Slam","12.752","259.8","27.09","2354"
"Charizard","Wing Attack","Fire Blast","12.751","334.4","28.86","2889"
"Kommo-o","Poison Jab","Dragon Claw","12.749","442.2","30.94","3309"
"Rhydon","Mud Slap","Megahorn","12.749","408.1","30.32","3179"
"Rillaboom","Scratch","Earth Power","12.749","388.6","29.96","3324"
"Galarian Rapidash","Low Kick","Psychic","12.748","278.7","27.57","2461"
"Shadow Sandslash","Metal Claw","Earthquake","12.748","274.5","27.46","2374"
"Shadow Poliwrath","Rock Smash","Hydro Pump","12.746","325.6","28.66","2586"
"Celebi","Magical Leaf","Seed Bomb","12.745","477.6","31.53","3265"
"Luxray","Hidden Power (Electric)","Return","12.743","310","28.3","2888"
"Victreebel","Magical Leaf","Return","12.743","271.9","27.39","2431"
"Cacturne","Sucker Punch","Payback","12.742","215","25.82","2298"
"Delphox","Zen Headbutt","Fire Blast","12.742","353.6","29.25","3059"
"Shadow Nidoqueen","Poison Jab","Sludge Wave","12.741","307.5","28.24","2488"
"Shadow Pinsir","Rock Smash","Submission","12.741","258.4","27.04","2959"
"Primeape","Counter","Close Combat","12.74","240.8","26.56","2288"
"Shadow Crustle","Fury Cutter","Rock Blast","12.74","296.2","27.98","2542"
"Shadow Drifblim","Astonish","Mystical Fire","12.739","281.8","27.63","2382"
"Golisopod","Waterfall","X-Scissor","12.737","417.5","30.48","3162"
"Haunter","Shadow Claw","Shadow Punch","12.736","154.2","23.76","1963"
"Kingdra","Dragon Breath","Outrage","12.736","362.1","29.41","2641"
"Rabsca","Confusion","Bug Buzz","12.733","334.3","28.82","2623"
"Gigalith","Smack Down","Heavy Slam","12.732","406.5","30.27","3228"
"Typhlosion","Incinerate","Solar Beam","12.73","333.8","28.81","2889"
"Giratina (Origin Forme)","Dragon Tail","Ominous Wind","12.729","533.5","32.39","3683"
"Mega Scizor","Fury Cutter","Night Slash","12.729","437.7","30.82","4087"
"Meganium","Vine Whip","Frenzy Plant","12.729","393","30","2410"
"Mamoswine","Powder Snow","Bulldoze","12.726","365.4","29.46","3328"
"Shadow Alolan Ninetales","Feint Attack","Dazzling Gleam","12.726","293.9","27.9","2309"
"Staraptor","Gust","Close Combat","12.726","291.6","27.84","2825"
"Pangoro","Low Kick","Close Combat","12.725","328.4","28.68","2902"
"Charizard","Air Slash","Return","12.723","333.7","28.79","2889"
"Shadow Golduck","Water Gun","Bubble Beam","12.723","267","27.23","2450"
"Sneasel","Feint Attack","Avalanche","12.723","228.9","26.2","2051"
"Primeape","Counter","Cross Chop","12.721","240.4","26.52","2288"
"Porygon-Z","Lock-On","Zap Cannon","12.72","310.2","28.27","3266"
"Shadow Politoed","Bubble","Hydro Pump","12.72","316.8","28.42","2449"
"Togekiss","Charm","Aerial Ace","12.72","436.2","30.78","3332"
"Shadow Drapion","Bite","Crunch","12.719","298.5","27.99","2453"
"Shadow Hisuian Sneasel","Poison Jab","X-Scissor","12.719","190.7","25.03","2051"
"Shadow Kabutops","Rock Smash","Stone Edge","12.719","251.3","26.82","2713"
"Flamigo","Wing Attack","Aerial Ace","12.716","293.7","27.88","2757"
"Wo-Chien","Snarl","Leaf Storm","12.716","483.1","31.57","2937"
"Necrozma","Shadow Claw","Iron Head","12.714","433.6","30.72","3682"
"Celebi","Confusion","Seed Bomb","12.713","476.4","31.46","3265"
"Leafeon","Bullet Seed","Solar Beam","12.713","367.5","29.48","2944"
"Chesnaught","Vine Whip","Superpower","12.712","423.1","30.53","2954"
"Kingambit","Snarl","X-Scissor","12.71","461.5","31.2","3614"
"Cobalion","Zen Headbutt","Sacred Sword","12.709","482","31.54","3022"
"Virizion","Zen Headbutt","Sacred Sword","12.709","482","31.54","3022"
"Donphan","Counter","Earthquake","12.708","391.5","29.94","3013"
"Shadow Shelgon","Dragon Breath","Dragon Pulse","12.706","222.4","25.99","2031"
"Alolan Golem","Rock Throw","Stone Edge","12.703","384.9","29.8","2949"
"Azelf","Confusion","Swift","12.703","286.8","27.69","3210"
"Golem","Rock Throw","Stone Edge","12.703","384.9","29.8","2949"
"Pyroar","Incinerate","Solar Beam","12.703","310.8","28.25","2767"
"Sylveon","Quick Attack","Dazzling Gleam","12.703","448","30.96","3069"
"Flareon","Ember","Superpower","12.702","304.4","28.1","3029"
"Kommo-o","Dragon Tail","Brick Break","12.702","440.6","30.83","3309"
"Shadow Walrein","Powder Snow","Blizzard","12.701","360.5","29.32","2726"
"Flygon","Sand Attack","Dragon Claw","12.699","330.6","28.69","2661"
"Shadow Mismagius","Magical Leaf","Dark Pulse","12.699","252.2","26.81","2615"
"Shadow Pinsir","Rock Smash","Close Combat","12.699","257.5","26.95","2959"
"Shadow Muk","Poison Jab","Dark Pulse","12.696","340.5","28.89","2757"
"Shadow Tentacruel","Poison Jab","Hydro Pump","12.695","337.1","28.82","2422"
"Meganium","Magical Leaf","Frenzy Plant","12.694","391.9","29.92","2410"
"Necrozma","Shadow Claw","Dark Pulse","12.694","432.9","30.68","3682"
"Lilligant","Magical Leaf","Petal Blizzard","12.693","280","27.51","2550"
"Shadow Hitmontop","Counter","Triple Axel","12.693","247.7","26.68","2156"
"Golisopod","Fury Cutter","X-Scissor","12.691","416","30.37","3162"
"Grimmsnarl","Low Kick","Dark Pulse","12.69","313.3","28.29","2850"
"Raikou","Volt Switch","Thunder","12.69","410.6","30.26","3452"
"Rotom Frost","Thunder Shock","Thunderbolt","12.689","313.2","28.28","2579"
"Rotom Heat","Thunder Shock","Thunderbolt","12.689","313.2","28.28","2579"
"Rotom Mow","Thunder Shock","Thunderbolt","12.689","313.2","28.28","2579"
"Rotom Wash","Thunder Shock","Thunderbolt","12.689","313.2","28.28","2579"
"Shadow Ampharos","Charge Beam","Power Gem","12.689","299.7","27.97","2852"
"Shadow Boldore","Mud Slap","Rock Slide","12.689","216.8","25.8","2029"
"Druddigon","Dragon Tail","Hyper Beam","12.688","324.2","28.53","2732"
"Gengar","Sucker Punch","Dark Pulse","12.688","245.5","26.61","2878"
"Reuniclus","Zen Headbutt","Future Sight","12.688","368.8","29.46","2927"
"Pinsir","Fury Cutter","Superpower","12.687","308.7","28.18","2959"
"Shadow Omastar","Mud Shot","Ancient Power","12.687","296.3","27.89","2786"
"Flapple","Bullet Seed","Fly","12.686","261.8","27.04","2466"
"Hatterene","Charm","Psybeam","12.686","284.4","27.6","2829"
"Hisuian Samurott","Fury Cutter","Dark Pulse","12.685","326.4","28.57","2802"
"Swampert","Water Gun","Earthquake","12.685","401.4","30.09","2974"
"Mega Kangaskhan","Low Kick","Stomp","12.684","491.2","31.64","3850"
"Flygon","Mud Shot","Earth Power","12.683","330.2","28.65","2661"
"Shadow Wailord","Water Gun","Blizzard","12.683","270.8","27.26","2280"
"Revavroom","Lick","Overheat","12.682","330.2","28.65","2951"
"Shadow Girafarig","Tackle","Thunderbolt","12.682","203","25.37","2046"
"Vikavolt","Bug Bite","Crunch","12.681","303","28.04","3117"
"Shadow Ivysaur","Razor Leaf","Power Whip","12.68","197","25.17","1699"
"Hitmonlee","Double Kick","Close Combat","12.679","262.1","27.04","2576"
"Palossand","Sand Attack","Shadow Ball","12.679","361.7","29.3","2444"
"Empoleon","Waterfall","Hydro Pump","12.678","374.9","29.57","2900"
"Mr. Rime","Confusion","Ice Punch","12.677","349.9","29.06","2827"
"Shadow Hippowdon","Fire Fang","Stone Edge","12.676","383.6","29.73","3085"
"Shadow Magnemite","Thunder Shock","Thunderbolt","12.676","107.7","21.64","1362"
"Shadow Snorlax","Lick","Heavy Slam","12.676","465.3","31.2","3225"
"Shadow Xatu","Feint Attack","Aerial Ace","12.676","210.1","25.58","2188"
"Ursaring","Counter","Trailblaze","12.676","310.5","28.2","2945"
"Beartic","Charm","Play Rough","12.674","339.3","28.83","3042"
"Magmortar","Fire Spin","Brick Break","12.674","322.4","28.46","3132"
"Golem","Mud Slap","Return","12.673","384","29.73","2949"
"Shadow Weepinbell","Bullet Seed","Seed Bomb","12.673","139.6","23.09","1611"
"Shadow Alolan Ninetales","Charm","Blizzard","12.672","292.7","27.78","2309"
"Kingambit","Metal Claw","X-Scissor","12.671","460.1","31.1","3614"
"Shadow Arcanine","Thunder Fang","Bulldoze","12.671","294.4","27.82","3029"
"Mienshao","Poison Jab","Stone Edge","12.67","222.2","25.93","2710"
"Skuntank","Bite","Sludge Bomb","12.67","316.7","28.33","2358"
"Shadow Flygon","Sand Attack","Stone Edge","12.668","274.8","27.34","2661"
"Barraskewda","Waterfall","Aqua Jet","12.666","213.4","25.66","2656"
"Shadow Forretress","Bug Bite","Heavy Slam","12.665","315.8","28.3","2282"
"Tangrowth","Infestation","Solar Beam","12.665","419.8","30.39","3030"
"Charizard","Fire Spin","Dragon Claw","12.663","332.1","28.66","2889"
"Emboar","Ember","Rock Slide","12.663","320.7","28.41","2982"
"Jolteon","Thunder Shock","Thunder","12.663","308.2","28.13","2888"
"Ho-Oh","Extrasensory","Return","12.66","521.1","32.07","3863"
"Solgaleo","Zen Headbutt","Psychic Fangs","12.659","504.9","31.81","4042"
"Ting-Lu","Snarl","Earthquake","12.659","643.5","33.8","3532"
"Shadow Regirock","Rock Throw","Focus Blast","12.658","486.2","31.51","3122"
"Zygarde (10% Forme)","Bite","Outrage","12.658","262.6","27.01","2375"
"Magneton","Thunder Shock","Return","12.657","245.7","26.57","2485"
"Shadow Solosis","Hidden Power (Psychic)","Psyshock","12.657","102.6","21.36","1367"
"Vaporeon","Water Gun","Hydro Pump","12.657","451.4","30.93","3114"
"Ho-Oh","Steel Wing","Earthquake","12.655","520.9","32.05","3863"
"Jolteon","Volt Switch","Last Resort","12.655","308","28.11","2888"
"Shadow Nidoking","Double Kick","Megahorn","12.655","257.8","26.89","2567"
"Flygon","Sand Attack","Earthquake","12.654","329.4","28.58","2661"
"Shadow Electrode","Tackle","Thunderbolt","12.654","233.9","26.24","2099"
"Mew","Frost Breath","Psychic","12.653","474.2","31.31","3265"
"Shadow Articuno","Ice Shard","Hurricane","12.653","407.7","30.15","3051"
"Braviary","Air Slash","Rock Slide","12.652","351.9","29.05","3088"
"Shadow Snorlax","Zen Headbutt","Outrage","12.652","464.5","31.14","3225"
"Mega Kangaskhan","Mud Slap","Earthquake","12.651","489.9","31.56","3850"
"Arcanine","Snarl","Scorching Sands","12.649","352.7","29.07","3029"
"Shadow Venomoth","Infestation","Psychic","12.649","216.1","25.72","2082"
"Morpeko","Bite","Thunderbolt","12.648","198.2","25.16","1942"
"Omastar","Rock Throw","Return","12.648","354.5","29.1","2786"
"Trevenant","Shadow Claw","Seed Bomb","12.648","316","28.28","2559"
"Shadow Cranidos","Zen Headbutt","Bulldoze","12.647","114.5","21.94","1820"
"Electabuzz","Thunder Shock","Thunderbolt","12.646","270.3","27.19","2334"
"Shadow Stantler","Tackle","Megahorn","12.645","205","25.37","2164"
"Shiftry","Snarl","Return","12.644","264.9","27.05","2333"
"Copperajah","Tackle","Iron Head","12.643","343.9","28.87","2980"
"Urshifu (Rapid Strike Style)","Counter","Aqua Jet","12.643","404.3","30.06","3606"
"Espartha","Confusion","Psyshock","12.642","287.8","27.61","2477"
"Reuniclus","Hidden Power (Psychic)","Shadow Ball","12.642","367.5","29.35","2927"
"Scolipede","Bug Bite","Megahorn","12.641","283.4","27.51","2447"
"Roselia","Magical Leaf","Sludge Bomb","12.64","194.7","25.04","1870"
"Shadow Crobat","Bite","Cross Poison","12.638","300.4","27.91","2646"
"Shadow Lapras","Water Gun","Blizzard","12.638","403.4","30.04","2641"
"Arcanine","Thunder Fang","Return","12.637","352.4","29.04","3029"
"Crabominable","Bubble","Power-Up Punch","12.637","314","28.21","2907"
"Lokix","Sucker Punch","Bug Buzz","12.637","263.5","27","2317"
"Palafin (Hero Form)","Counter","Icy Wind","12.635","372.3","29.44","3963"
"Pinsir","Bug Bite","Close Combat","12.635","307.5","28.06","2959"
"Giratina (Origin Forme)","Shadow Claw","Ominous Wind","12.634","529.5","32.15","3683"
"Shadow Reuniclus","Hidden Power (Psychic)","Thunder","12.634","306.1","28.03","2927"
"Tsareena","Magical Leaf","Energy Ball","12.633","351.6","29.02","2964"
"Crawdaunt","Snarl","Bubble Beam","12.632","240.9","26.4","2474"
"Shadow Poliwrath","Bubble","Power-Up Punch","12.63","322.7","28.39","2586"
"Stakataka","Rock Throw","Stone Edge","12.629","469.1","31.18","3294"
"Indeedee (Male)","Extrasensory","Shadow Ball","12.628","269.6","27.15","2443"
"Roselia","Poison Jab","Sludge Bomb","12.628","194.5","25.02","1870"
"Shadow Alolan Sandslash","Shadow Claw","Blizzard","12.626","300.5","27.89","2432"
"Dracozolt","Dragon Tail","Discharge","12.625","350.1","28.97","2621"
"Shadow Graveler","Mud Slap","Rock Slide","12.625","210.4","25.51","1897"
"Heliolisk","Volt Switch","Grass Knot","12.624","277.3","27.33","2600"
"Crawdaunt","Snarl","Night Slash","12.623","240.7","26.38","2474"
"Shadow Electabuzz","Low Kick","Thunder Punch","12.622","224.8","25.93","2334"
"Shadow Milotic","Dragon Tail","Hyper Beam","12.622","394.6","29.85","3005"
"Arceus","Iron Tail","Outrage","12.62","556.2","32.52","3982"
"Shadow Cloyster","Ice Shard","Blizzard","12.62","300.6","27.88","2547"
"Stantler","Tackle","Return","12.62","245.5","26.5","2164"
